Test  4
10,2802.6009046780937,2015.490456669045,2564.0843991343677,48432.99554436265
25,8690.47070478839,2603.914565746098,4761.943952380952,3397.0667726550078
50,29489.457478178814,5944.419340648889,10471.804305939515,6533.35816858528
100,110978.74877940524,16054.8346069869,24175.7398220675,13865.415324034275
1000,1.0882608413043479E7,1265229.2702020202,372332.6053611318,179239.4899641577
2000,4.4338541833333336E7,7940213.476190476,820798.8459016393,365633.6432748538
4000,1.7992726933333334E8,3.438785846666667E7,1811300.5884476535,810843.400324149
8000,7.15190143E8,1.4032336075E8,3853612.3076923075,1736322.9618055555
16000,2.872179439E9,5.62699106E8,8279265.032786885,3542918.5070422534
32000,1.1438349534E10,2.248575479E9,1.8469386E7,7814655.5
64000,4.6160424626E10,9.067245877E9,4.152417676923077E7,1.6873180466666665E7
128000,1.99137689928E11,4.6160574469E10,9.70786325E7,3.743716935714286E7
256000,9.37961609093E11,4.02582026574E11,2.3616109633333334E8,7.931551514285715E7
