what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1269798150495
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1269798150534
started,bundle,org.eclipse.mylyn.context.core,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.context.core",1269798150561
started,bundle,org.eclipse.mylyn.context.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.context.ui",1269798150604
started,bundle,org.eclipse.team.core,3.5.0.I20090527-0620,"org.eclipse.team.core",1269798150637
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1269798150691
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1269798150732
started,bundle,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui",1269798150796
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1269798150798
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1269798150798
started,bundle,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.ide",1269798150831
started,bundle,org.eclipse.ui.net,1.2.0.I20090430-0408,"org.eclipse.ui.net",1269798150832
started,bundle,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views",1269798150834
started,bundle,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"org.eclipse.ui.workbench",1269798150846
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1269798150872
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1269798150873
os,sysinfo,,,"win32",1269798150878
arch,sysinfo,,,"x86",1269798150878
ws,sysinfo,,,"win32",1269798150878
locale,sysinfo,,,"en_US",1269798150878
processors,sysinfo,,,"2",1269798150878
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1269798150878
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1269798150878
java.specification.name,sysinfo,,,"Java Platform API Specification",1269798150878
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1269798150878
