what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1270004299103
processors,sysinfo,,,"2",1270004299104
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1270004299104
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1270004299104
java.specification.name,sysinfo,,,"Java Platform API Specification",1270004299104
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1270004299104
java.specification.version,sysinfo,,,"1.6",1270004299104
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1270004299104
java.version,sysinfo,,,"1.6.0_17",1270004299104
java.vm.info,sysinfo,,,"mixed mode, sharing",1270004299104
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1270004299104
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1270004299104
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1270004299104
java.vm.specification.version,sysinfo,,,"1.0",1270004299104
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1270004299104
java.vm.version,sysinfo,,,"14.3-b01",1270004299104
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1270004300449
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1270004301479
activated,view,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views.ContentOutline",1270004306668
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1270004322920
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1270004338858
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1270004341026
started,bundle,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui",1270004341504
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1270004344700
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1270004346016
